ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),Status
EXP_ABL_006_disable-promote-alloca-to-vector,1,promote-alloca-to-vector,N/A,15721160,7682501.30,2729,7.161826,93.253366,Success
EXP_ABL_007_disable-replace-with-vec-lib,1,replace-with-vec-lib,N/A,15721160,8744825.10,2398,3.149898,101.051562,Success
EXP_ABL_008_disable-vector-combine,1,vector-combine,N/A,15721176,8071338.40,2598,7.268373,104.651656,Success
EXP_ABL_009_disable-advanced-peeling,1,advanced-peeling,N/A,15719112,8891663.80,2358,8.033457,95.663540,Success
EXP_ABL_010_disable-lftr,1,lftr,N/A,15719416,8376224.95,2503,7.667845,96.788771,Success
EXP_ABL_011_disable-licm-promotion,1,licm-promotion,N/A,15718560,8270894.05,2535,7.592879,94.408470,Success
EXP_ABL_012_disable-loop-level-heuristics,1,loop-level-heuristics,N/A,15721160,7637800.60,2745,7.342616,100.278675,Success
EXP_ABL_013_disable-lsr,1,lsr,N/A,15717704,7609507.75,2755,7.055806,94.492187,Success
EXP_ABL_014_disable-machine-licm,1,machine-licm,N/A,15709880,8673155.05,2417,7.777470,93.456342,Success
EXP_ABL_015_disable-postra-machine-licm,1,postra-machine-licm,N/A,15721176,8535187.75,2457,8.074980,98.767292,Success
EXP_ABL_016_disable-preheader-prot,1,preheader-prot,N/A,15721144,7738258.70,2710,7.275954,100.864883,Success
EXP_ABL_017_disable-block-placement,1,block-placement,N/A,15663608,8198876.25,2557,8.092725,99.706459,Success
EXP_ABL_018_disable-branch-fold,1,branch-fold,N/A,15732424,8730830.40,2402,8.311749,99.806314,Success
EXP_ABL_019_disable-cgp-branch-opts,1,cgp-branch-opts,N/A,15721176,8487400.20,2470,7.612361,102.309209,Success
EXP_ABL_020_disable-cgp-select2branch,1,cgp-select2branch,N/A,15720968,7860300.00,2668,7.177095,97.988422,Success
EXP_ABL_021_disable-chr,1,chr,N/A,15721160,8462373.70,2478,7.823370,96.526382,Success
EXP_ABL_022_disable-early-ifcvt,1,early-ifcvt,N/A,15721160,8093721.10,2591,7.858973,99.785891,Success
EXP_ABL_023_disable-early-taildup,1,early-taildup,N/A,15719064,7372563.40,2844,6.888057,97.157669,Success
EXP_ABL_024_disable-ifcvt-diamond,1,ifcvt-diamond,N/A,15721160,8274849.25,2534,7.498942,94.864354,Success
EXP_ABL_025_disable-ifcvt-forked-diamond,1,ifcvt-forked-diamond,N/A,15721160,7943788.90,2639,3.078613,93.910050,Success
EXP_ABL_026_disable-ifcvt-simple,1,ifcvt-simple,N/A,15721160,8116905.00,2583,7.687736,98.483103,Success
EXP_ABL_027_disable-ifcvt-simple-false,1,ifcvt-simple-false,N/A,15721160,7591413.10,2762,7.491984,102.335300,Success
EXP_ABL_028_disable-ifcvt-triangle,1,ifcvt-triangle,N/A,15721160,7721538.90,2715,7.508116,92.384196,Success
EXP_ABL_029_disable-ifcvt-triangle-false,1,ifcvt-triangle-false,N/A,15721160,9286238.60,2258,7.859079,92.232210,Success
EXP_ABL_030_disable-ifcvt-triangle-rev,1,ifcvt-triangle-rev,N/A,15721160,8698119.20,2411,7.669777,94.888126,Success
EXP_ABL_031_disable-tail-calls,1,tail-calls,N/A,15721160,8572437.95,2446,7.721617,94.724990,Success
EXP_ABL_032_disable-tail-duplicate,1,tail-duplicate,N/A,15720136,8056062.10,2603,7.378895,86.876132,Success
EXP_ABL_033_disable-cgp-ext-ld-promotion,1,cgp-ext-ld-promotion,N/A,15721560,8206025.30,2555,7.682107,87.536608,Success
EXP_ABL_034_disable-cgp-store-extract,1,cgp-store-extract,N/A,15721160,7767899.00,2699,7.520138,89.045020,Success
EXP_ABL_035_disable-memop-opt,1,memop-opt,N/A,15721160,8267473.85,2536,7.507658,91.184037,Success
EXP_ABL_036_disable-separate-const-offset-from-gep,1,separate-const-offset-from-gep,N/A,15721160,7620151.70,2752,7.003099,87.842043,Success
EXP_ABL_037_disable-adv-copy-opt,1,adv-copy-opt,N/A,15721160,8688745.55,2413,7.948248,86.723504,Success
EXP_ABL_038_disable-cgp-delete-phis,1,cgp-delete-phis,N/A,15721160,8063451.10,2600,7.586542,84.404123,Success
EXP_ABL_039_disable-cleanups,1,cleanups,N/A,15721160,7911729.95,2650,7.507673,85.005504,Success
EXP_ABL_040_disable-constant-hoisting,1,constant-hoisting,N/A,15718584,7641602.10,2744,7.145581,87.406618,Success
EXP_ABL_041_disable-copyprop,1,copyprop,N/A,15723688,8248969.20,2542,7.902145,102.100040,Success
EXP_ABL_042_disable-demotion,1,demotion,N/A,15721160,8178247.05,2564,7.607704,100.172956,Success
EXP_ABL_043_disable-gep-const-evaluation,1,gep-const-evaluation,N/A,15721160,8264482.25,2537,7.699335,104.677206,Success
EXP_ABL_044_disable-icp,1,icp,N/A,15721160,7552098.45,2776,7.199784,106.361127,Success
EXP_ABL_045_disable-machine-cse,1,machine-cse,N/A,15725240,7993553.60,2623,7.520068,100.825113,Success
EXP_ABL_046_disable-machine-dce,1,machine-dce,N/A,15722696,8211051.40,2554,7.963740,98.533656,Success
EXP_ABL_047_disable-machine-sink,1,machine-sink,N/A,15723800,8097525.40,2589,7.576660,104.510429,Success
EXP_ABL_048_disable-mergeicmps,1,mergeicmps,N/A,15721160,7887270.30,2658,7.342320,101.773054,Success
EXP_ABL_049_disable-non-allocatable-phys-copy-opt,1,non-allocatable-phys-copy-opt,N/A,15721160,7815644.10,2683,7.132807,96.078365,Success
EXP_ABL_050_disable-phi-elim-edge-splitting,1,phi-elim-edge-splitting,N/A,15721624,8262274.40,2538,7.699379,99.908693,Success
EXP_ABL_051_disable-postra-machine-sink,1,postra-machine-sink,N/A,15721448,8171355.80,2566,7.453008,105.138580,Success
EXP_ABL_052_disable-preinline,1,preinline,N/A,15721160,8119635.80,2582,7.416064,104.015000,Success
EXP_ABL_053_disable-select-optimize,1,select-optimize,N/A,15721160,7717559.10,2717,7.121284,104.264506,Success
EXP_ABL_054_disable-ssc,1,ssc,N/A,15726216,8543502.15,2454,8.069100,105.009629,Success
EXP_ABL_055_disable-type-promotion,1,type-promotion,N/A,15721160,7419571.25,2826,7.068257,102.940772,Success
EXP_ABL_056_disable-auto-upgrade-debug-info,1,auto-upgrade-debug-info,N/A,15721160,7831139.75,2677,7.228878,100.480595,Success
EXP_ABL_057_disable-bitcode-version-upgrade,1,bitcode-version-upgrade,N/A,15721160,8292133.95,2529,7.760033,95.918935,Success
EXP_ABL_058_disable-cfi-fixup,1,cfi-fixup,N/A,15721160,8420188.35,2490,7.707615,109.902626,Success
EXP_ABL_059_disable-cgdata-for-merging,1,cgdata-for-merging,N/A,15721160,8485302.15,2471,7.629939,98.244814,Success
EXP_ABL_060_disable-global-outlining,1,global-outlining,N/A,15721160,8483655.75,2471,7.751590,95.630129,Success
EXP_ABL_061_disable-last-run-tracking,1,last-run-tracking,N/A,15721160,8458247.90,2479,7.893330,107.869234,Success
EXP_ABL_062_disable-layout-fsprofile-loader,1,layout-fsprofile-loader,N/A,15721160,8301566.10,2526,7.522876,105.381329,Success
EXP_ABL_063_disable-nofree-inference,1,nofree-inference,N/A,15721160,7519622.35,2788,7.250478,96.388594,Success
EXP_ABL_064_disable-nounwind-inference,1,nounwind-inference,N/A,15744128,8180726.80,2563,7.477275,94.331938,Success
EXP_ABL_065_disable-ondemand-mds-loading,1,ondemand-mds-loading,N/A,15721160,8785724.50,2386,8.090516,97.422774,Success
EXP_ABL_066_disable-ra-fsprofile-loader,1,ra-fsprofile-loader,N/A,15721160,8045899.95,2606,7.652414,121.328283,Success
EXP_ABL_067_disable-sample-loader-inlining,1,sample-loader-inlining,N/A,15721160,7874009.20,2663,7.572913,98.446400,Success
EXP_ABL_068_disable-thinlto-funcattrs,1,thinlto-funcattrs,N/A,15721160,8222948.20,2550,7.714380,96.632343,Success
EXP_ABL_069_disable-vp,1,vp,N/A,15721160,8629773.95,2430,7.822382,97.776565,Success
EXP_ABL_070_disable-whole-program-visibility,1,whole-program-visibility,N/A,15721160,7946858.25,2638,7.340751,98.927253,Success
EXP_ABL_071_disable-2addr-hack,1,2addr-hack,N/A,15721160,8424214.10,2489,7.604507,96.336340,Success
EXP_ABL_072_disable-cgp,1,cgp,N/A,15755320,8608839.90,2436,8.235008,95.987956,Success
EXP_ABL_073_disable-cgp-gc-opts,1,cgp-gc-opts,N/A,15721160,8551620.10,2452,7.875398,114.819706,Success
EXP_ABL_074_disable-complex-addr-modes,1,complex-addr-modes,N/A,15722120,7438659.00,2819,7.233883,99.966285,Success
EXP_ABL_075_disable-dfa-sched,1,dfa-sched,N/A,15721160,8362920.65,2507,7.465583,96.000686,Success
EXP_ABL_076_disable-i2p-p2i-opt,1,i2p-p2i-opt,N/A,15721408,9125334.65,2298,8.320083,102.190471,Success
EXP_ABL_077_disable-mr-partial-inlining,1,mr-partial-inlining,N/A,15721160,8291694.35,2529,7.945154,104.394124,Success
EXP_ABL_078_disable-partial-inlining,1,partial-inlining,N/A,15721160,8778949.75,2388,7.899906,97.150774,Success
EXP_ABL_079_disable-partial-libcall-inlining,1,partial-libcall-inlining,N/A,15721160,8599577.10,2438,8.088497,100.099324,Success
EXP_ABL_080_disable-peephole,1,peephole,N/A,15761688,8894098.85,2357,8.399699,98.849522,Success
EXP_ABL_081_disable-post-ra,1,post-ra,N/A,15721160,7653379.30,2740,7.372280,92.917164,Success
EXP_ABL_082_disable-spill-fusing,1,spill-fusing,N/A,15742488,8230848.45,2547,7.930975,91.454959,Success
EXP_ABL_083_disable-strictnode-mutation,1,strictnode-mutation,N/A,15721160,8603195.25,2437,7.740329,96.829550,Success
EXP_DBL_000_BASELINE,1,baseline,baseline,15721160,8294232.50,2528,7.568117,96.693606,Success
EXP_DBL_0001,1,binop-extract-shuffle,CopyProp,15721192,7863057.10,2667,7.451085,92.650512,Success
EXP_DBL_0002,1,expand-reductions,CopyProp,15721176,8797742.40,2383,8.188678,97.931057,Success
EXP_DBL_0003,1,interleaved-load-combine,CopyProp,15721176,8009063.35,2618,7.422078,97.272161,Success
EXP_DBL_0004,1,loop-idiom-vectorize-all,CopyProp,15721176,8228551.45,2548,7.329484,94.275188,Success
EXP_DBL_0005,1,loop-idiom-vectorize-bytecmp,CopyProp,15721176,7641316.25,2744,7.070693,101.522345,Success
EXP_DBL_0006,1,promote-alloca-to-vector,CopyProp,15721176,7852989.95,2670,7.879468,115.437201,Success
EXP_DBL_0007,1,replace-with-vec-lib,CopyProp,15721176,7505710.70,2794,6.921519,92.468009,Success
EXP_DBL_0008,1,vector-combine,CopyProp,15721192,7665922.15,2735,7.510066,89.156608,Success
EXP_DBL_0009,1,advanced-peeling,CopyProp,15719080,8120810.20,2582,7.449320,94.562615,Success
EXP_DBL_0010,1,lftr,CopyProp,15719432,9068626.40,2312,7.838107,92.202307,Success
EXP_DBL_0011,1,licm-promotion,CopyProp,15718544,8266044.90,2537,7.329590,87.940782,Success
EXP_DBL_0012,1,loop-level-heuristics,CopyProp,15721176,7822951.35,2680,7.283936,84.449615,Success
EXP_DBL_0013,1,lsr,CopyProp,15717784,7738092.60,2710,7.448905,83.073163,Success
EXP_DBL_0014,1,machine-licm,CopyProp,15710120,7910671.75,2651,7.275296,100.674188,Success
EXP_DBL_0015,1,postra-machine-licm,CopyProp,15721176,7970506.15,2631,7.556517,85.192984,Success
EXP_DBL_0016,1,preheader-prot,CopyProp,15721176,7428521.25,2823,7.121345,87.116801,Success
EXP_DBL_0017,1,block-placement,CopyProp,15663576,8128426.15,2580,7.302830,102.278898,Success
EXP_DBL_0018,1,branch-fold,CopyProp,15732408,8418902.90,2491,8.088796,102.668657,Success
EXP_DBL_0019,1,cgp-branch-opts,CopyProp,15721192,8134724.75,2578,7.278695,103.875433,Success
EXP_DBL_0020,1,cgp-select2branch,CopyProp,15720968,8019126.75,2615,7.357045,97.458840,Success
EXP_DBL_0021,1,chr,CopyProp,15721176,8299334.45,2526,7.446636,97.135697,Success
EXP_DBL_0022,1,early-ifcvt,CopyProp,15721176,8458453.65,2479,7.568219,104.449918,Success
EXP_DBL_0023,1,early-taildup,CopyProp,15718984,7710929.90,2719,7.115986,94.917912,Success
EXP_DBL_0024,1,ifcvt-diamond,CopyProp,15721176,7804517.90,2687,7.436032,98.010793,Success
EXP_DBL_0025,1,ifcvt-forked-diamond,CopyProp,15721176,8507621.20,2465,7.861038,100.655942,Success
EXP_DBL_0026,1,ifcvt-simple,CopyProp,15721176,7908096.55,2651,7.336495,98.958530,Success
EXP_DBL_0027,1,ifcvt-simple-false,CopyProp,15721176,7608632.30,2756,7.023398,101.936640,Success
EXP_DBL_0028,1,ifcvt-triangle,CopyProp,15721176,8733571.40,2401,8.115183,99.564158,Success
EXP_DBL_0029,1,ifcvt-triangle-false,CopyProp,15721176,8806204.20,2381,8.083899,101.453649,Success
EXP_DBL_0030,1,ifcvt-triangle-rev,CopyProp,15721176,8298259.15,2527,7.653686,106.059932,Success
EXP_DBL_0031,1,tail-calls,CopyProp,15721176,8428836.00,2488,7.945506,105.721673,Success
EXP_DBL_0032,1,tail-duplicate,CopyProp,15720072,7626066.95,2749,7.306059,118.195357,Success
EXP_DBL_0033,1,cgp-ext-ld-promotion,CopyProp,15721512,7890563.00,2657,7.209653,97.160768,Success
EXP_DBL_0034,1,cgp-store-extract,CopyProp,15721176,8317451.35,2521,7.579333,100.051233,Success
EXP_DBL_0035,1,memop-opt,CopyProp,15721176,8659900.95,2421,7.773818,105.335516,Success
EXP_DBL_0036,1,separate-const-offset-from-gep,CopyProp,15721176,8149338.55,2573,7.439408,102.232537,Success
EXP_DBL_0037,1,adv-copy-opt,CopyProp,15721176,7889977.85,2657,7.256290,93.112707,Success
EXP_DBL_0038,1,cgp-delete-phis,CopyProp,15721176,8625539.05,2431,7.966577,96.879817,Success
EXP_DBL_0039,1,cleanups,CopyProp,15721176,8105286.55,2587,7.670619,119.952293,Success
EXP_DBL_0040,1,constant-hoisting,CopyProp,15718568,8766210.45,2392,7.815253,102.859601,Success
EXP_DBL_0041,1,copyprop,CopyProp,15723720,8440800.80,2484,7.814133,101.510092,Success
EXP_DBL_0042,1,demotion,CopyProp,15721176,7681683.85,2730,7.141135,98.650099,Success
EXP_DBL_0043,1,gep-const-evaluation,CopyProp,15721176,7775191.10,2697,7.204547,91.493913,Success
EXP_DBL_0044,1,icp,CopyProp,15721176,8394315.65,2498,7.908999,97.212809,Success
EXP_DBL_0045,1,machine-cse,CopyProp,15725240,8002658.05,2620,7.358458,96.279389,Success
EXP_DBL_0046,1,machine-dce,CopyProp,15722664,7525924.45,2786,6.831612,95.086103,Success
EXP_DBL_0047,1,machine-sink,CopyProp,15723768,7615646.90,2753,7.282661,86.748358,Success
EXP_DBL_0048,1,mergeicmps,CopyProp,15721176,8292981.15,2528,7.706909,93.290219,Success
EXP_DBL_0049,1,non-allocatable-phys-copy-opt,CopyProp,15721176,9006774.85,2328,8.011243,93.267475,Success
EXP_DBL_0050,1,phi-elim-edge-splitting,CopyProp,15721576,7764510.40,2700,7.516898,92.354464,Success
EXP_DBL_0051,1,postra-machine-sink,CopyProp,15721400,7882383.70,2660,7.671256,91.668304,Success
EXP_DBL_0052,1,preinline,CopyProp,15721176,9158152.25,2289,9.711043,99.205272,Success
EXP_DBL_0053,1,select-optimize,CopyProp,15721176,9208738.50,2277,8.304759,101.012077,Success
EXP_DBL_0054,1,ssc,CopyProp,15726152,8078402.50,2595,7.645261,99.141580,Success
EXP_DBL_0055,1,type-promotion,CopyProp,15721176,7509873.80,2792,7.113456,95.569213,Success
EXP_DBL_0056,1,auto-upgrade-debug-info,CopyProp,15721176,8306122.30,2524,7.733445,92.842787,Success
EXP_DBL_0057,1,bitcode-version-upgrade,CopyProp,15721176,8237688.35,2545,7.460712,93.870484,Success
EXP_DBL_0058,1,cfi-fixup,CopyProp,15721176,8457735.70,2479,7.960339,94.651695,Success
EXP_DBL_0059,1,cgdata-for-merging,CopyProp,15721176,8566856.55,2447,7.924361,93.368897,Success
EXP_DBL_0060,1,global-outlining,CopyProp,15721176,8718326.10,2405,8.112067,93.390044,Success
EXP_DBL_0061,1,last-run-tracking,CopyProp,15721176,7985746.65,2626,7.526176,99.192543,Success
EXP_DBL_0062,1,layout-fsprofile-loader,CopyProp,15721176,8663099.35,2420,8.118515,96.091582,Success
EXP_DBL_0063,1,nofree-inference,CopyProp,15721176,9080520.95,2309,7.947293,94.333658,Success
EXP_DBL_0064,1,nounwind-inference,CopyProp,15744112,8758424.40,2394,8.413999,97.902659,Success
EXP_DBL_0065,1,ondemand-mds-loading,CopyProp,15721176,8778552.90,2388,7.734097,93.816349,Success
EXP_DBL_0066,1,ra-fsprofile-loader,CopyProp,15721176,8024600.35,2613,7.969012,92.635819,Success
EXP_DBL_0067,1,sample-loader-inlining,CopyProp,15721176,8096446.65,2590,7.300605,95.299406,Success
EXP_DBL_0068,1,thinlto-funcattrs,CopyProp,15721176,7995599.30,2622,7.562883,89.430287,Success
EXP_DBL_0069,1,vp,CopyProp,15721176,8760435.80,2393,8.077075,88.453575,Success
EXP_DBL_0070,1,whole-program-visibility,CopyProp,15721176,9306896.80,2253,8.209421,94.419910,Success
EXP_DBL_0071,1,2addr-hack,CopyProp,15721176,8456257.65,2480,7.978922,87.785304,Success
EXP_DBL_0072,1,cgp,CopyProp,15755128,7589735.10,2763,6.951954,87.291569,Success
EXP_DBL_0073,1,cgp-gc-opts,CopyProp,15721176,8095503.65,2590,7.148213,92.192870,Success
EXP_DBL_0074,1,complex-addr-modes,CopyProp,15722312,8591116.95,2441,8.085163,89.352313,Success
EXP_DBL_0075,1,dfa-sched,CopyProp,15721176,8416938.15,2491,7.451892,93.706076,Success
EXP_DBL_0076,1,i2p-p2i-opt,CopyProp,15721424,7796993.55,2689,7.226082,86.356305,Success
EXP_DBL_0077,1,mr-partial-inlining,CopyProp,15721176,7594194.55,2761,6.924973,89.815613,Success
EXP_DBL_0078,1,partial-inlining,CopyProp,15721176,8127632.50,2580,7.467685,84.960892,Success
EXP_DBL_0079,1,partial-libcall-inlining,CopyProp,15721176,8272017.55,2535,7.473568,86.341204,Success
EXP_DBL_0080,1,peephole,CopyProp,15761400,7820439.55,2681,7.086360,87.341565,Success
EXP_DBL_0081,1,post-ra,CopyProp,15721176,7612521.90,2754,7.040688,85.424193,Success
EXP_DBL_0082,1,spill-fusing,CopyProp,15742456,8776160.60,2389,7.771036,86.926016,Success
EXP_DBL_0083,1,strictnode-mutation,CopyProp,15721176,7737944.80,2710,7.060987,82.846725,Success
EXP_DBL_0084,1,binop-extract-shuffle,DataflowConstProp,15721176,7735587.75,2711,7.078610,83.921955,Success
EXP_DBL_0085,1,expand-reductions,DataflowConstProp,15721160,8153113.50,2572,7.644069,85.987753,Success
EXP_DBL_0086,1,interleaved-load-combine,DataflowConstProp,15721160,7928360.95,2645,7.218036,82.235098,Success
EXP_DBL_0087,1,loop-idiom-vectorize-all,DataflowConstProp,15721160,8128080.85,2580,7.520685,86.248214,Success
EXP_DBL_0088,1,loop-idiom-vectorize-bytecmp,DataflowConstProp,15721160,7792511.75,2691,7.228694,83.566961,Success
EXP_DBL_0089,1,promote-alloca-to-vector,DataflowConstProp,15721160,8675895.85,2417,7.585129,89.080248,Success
EXP_DBL_0090,1,replace-with-vec-lib,DataflowConstProp,15721160,7867499.75,2665,7.116701,81.142583,Success
EXP_DBL_0091,1,vector-combine,DataflowConstProp,15721176,8060678.90,2601,7.364878,84.717433,Success
EXP_DBL_0092,1,advanced-peeling,DataflowConstProp,15719112,9093204.10,2306,7.831577,82.704766,Success
EXP_DBL_0093,1,lftr,DataflowConstProp,15719416,8071892.30,2598,7.513509,89.836589,Success
EXP_DBL_0094,1,licm-promotion,DataflowConstProp,15718560,7832911.55,2677,7.410613,84.006239,Success
EXP_DBL_0095,1,loop-level-heuristics,DataflowConstProp,15721160,7913284.10,2650,7.163961,87.902557,Success
EXP_DBL_0096,1,lsr,DataflowConstProp,15717704,9021684.65,2324,8.348399,88.701011,Success
EXP_DBL_0097,1,machine-licm,DataflowConstProp,15709880,7931386.80,2644,7.282093,88.375944,Success
EXP_DBL_0098,1,postra-machine-licm,DataflowConstProp,15721176,8652114.30,2423,7.928762,81.248822,Success
EXP_DBL_0099,1,preheader-prot,DataflowConstProp,15721144,8333025.05,2516,7.670823,98.593531,Success
EXP_DBL_0100,1,block-placement,DataflowConstProp,15663608,8226636.30,2549,7.755997,105.137505,Success
EXP_DBL_0101,1,branch-fold,DataflowConstProp,15732424,8284616.05,2531,7.754557,98.623815,Success
EXP_DBL_0102,1,cgp-branch-opts,DataflowConstProp,15721176,7920896.65,2647,7.603016,96.436918,Success
EXP_DBL_0103,1,cgp-select2branch,DataflowConstProp,15720968,8207181.95,2555,7.740046,96.893983,Success
EXP_DBL_0104,1,chr,DataflowConstProp,15721160,8747762.95,2397,8.156681,98.936219,Success
EXP_DBL_0105,1,early-ifcvt,DataflowConstProp,15721160,7664072.15,2736,7.206365,97.273296,Success
EXP_DBL_0106,1,early-taildup,DataflowConstProp,15719064,8315957.20,2521,7.804711,91.268584,Success
EXP_DBL_0107,1,ifcvt-diamond,DataflowConstProp,15721160,8103920.15,2587,7.733355,97.211418,Success
EXP_DBL_0108,1,ifcvt-forked-diamond,DataflowConstProp,15721160,8560239.20,2449,7.689011,99.669361,Success
EXP_DBL_0109,1,ifcvt-simple,DataflowConstProp,15721160,7866637.75,2665,7.176742,94.706305,Success
EXP_DBL_0110,1,ifcvt-simple-false,DataflowConstProp,15721160,8951176.50,2342,3.104937,92.305459,Success
EXP_DBL_0111,1,ifcvt-triangle,DataflowConstProp,15721160,9112530.15,2301,8.160861,96.814291,Success
EXP_DBL_0112,1,ifcvt-triangle-false,DataflowConstProp,15721160,8617459.60,2433,8.009085,101.340453,Success
EXP_DBL_0113,1,ifcvt-triangle-rev,DataflowConstProp,15721160,8728394.70,2402,7.939575,116.010858,Success
EXP_DBL_0114,1,tail-calls,DataflowConstProp,15721160,7859402.40,2668,7.352799,99.795162,Success
EXP_DBL_0115,1,tail-duplicate,DataflowConstProp,15720136,8314055.60,2522,7.612380,95.213209,Success
EXP_DBL_0116,1,cgp-ext-ld-promotion,DataflowConstProp,15721560,8970309.50,2337,9.790979,97.073457,Success
EXP_DBL_0117,1,cgp-store-extract,DataflowConstProp,15721160,8702878.85,2409,8.044349,99.747659,Success
EXP_DBL_0118,1,memop-opt,DataflowConstProp,15721160,8187638.20,2561,8.016607,98.633395,Success
EXP_DBL_0119,1,separate-const-offset-from-gep,DataflowConstProp,15721160,7652043.35,2740,7.114317,93.162142,Success
EXP_DBL_0120,1,adv-copy-opt,DataflowConstProp,15721160,8090699.30,2592,7.710255,97.266237,Success
EXP_DBL_0121,1,cgp-delete-phis,DataflowConstProp,15721160,8665811.05,2420,7.713100,97.219114,Success
EXP_DBL_0122,1,cleanups,DataflowConstProp,15721160,10652530.30,1968,3.871781,97.809681,Success
EXP_DBL_0123,1,constant-hoisting,DataflowConstProp,15718584,8615076.30,2434,7.939317,97.213393,Success
EXP_DBL_0124,1,copyprop,DataflowConstProp,15723688,8616196.60,2433,7.816855,113.197251,Success
EXP_DBL_0125,1,demotion,DataflowConstProp,15721160,8694051.90,2412,8.215043,99.524702,Success
EXP_DBL_0126,1,gep-const-evaluation,DataflowConstProp,15721160,7613501.10,2754,7.061745,97.899924,Success
EXP_DBL_0127,1,icp,DataflowConstProp,15721160,7658572.95,2738,7.082850,95.042773,Success
EXP_DBL_0128,1,machine-cse,DataflowConstProp,15725240,7735394.70,2711,7.479407,95.300255,Success
EXP_DBL_0129,1,machine-dce,DataflowConstProp,15722696,7855803.65,2669,7.704166,96.449351,Success
EXP_DBL_0130,1,machine-sink,DataflowConstProp,15723800,7629825.15,2748,7.388941,94.126069,Success
EXP_DBL_0131,1,mergeicmps,DataflowConstProp,15721160,8497992.65,2467,8.158260,92.842724,Success
EXP_DBL_0132,1,non-allocatable-phys-copy-opt,DataflowConstProp,15721160,8952275.75,2342,8.211524,93.655188,Success
EXP_DBL_0133,1,phi-elim-edge-splitting,DataflowConstProp,15721624,8763025.30,2393,7.957034,95.238794,Success
